Progress: 3%, score: -12
Progress: 6%, score: -13
Progress: 10%, score: -15
Progress: 13%, score: -15
Progress: 16%, score: -13
Progress: 20%, score: -13
Progress: 23%, score: -10
Progress: 26%, score: -11
Progress: 30%, score: -18
Progress: 33%, score: -15
Progress: 36%, score: -10
Progress: 40%, score: -13
Progress: 43%, score: -15
Progress: 46%, score: -10
Progress: 50%, score: -9
Progress: 53%, score: -9
Progress: 56%, score: -11
Progress: 60%, score: -8
Progress: 63%, score: -16
Progress: 66%, score: -10
Progress: 70%, score: -11
Progress: 73%, score: -9
Progress: 76%, score: -15
Progress: 80%, score: -9
Progress: 83%, score: -11
Progress: 86%, score: -12
Progress: 90%, score: -12
Progress: 93%, score: -14
Progress: 96%, score: -10
Progress: 100%, score: -18
