Progress: 3%, score: -15
Progress: 6%, score: -10
Progress: 10%, score: -13
Progress: 13%, score: -15
Progress: 16%, score: -14
Progress: 20%, score: -17
Progress: 23%, score: -17
Progress: 26%, score: -10
Progress: 30%, score: -5
Progress: 33%, score: -12
Progress: 36%, score: -13
Progress: 40%, score: -14
Progress: 43%, score: -10
Progress: 46%, score: -6
Progress: 50%, score: -14
Progress: 53%, score: -23
Progress: 56%, score: -7
Progress: 60%, score: -10
Progress: 63%, score: -15
Progress: 66%, score: -20
Progress: 70%, score: -9
Progress: 73%, score: -11
Progress: 76%, score: -14
Progress: 80%, score: -14
Progress: 83%, score: -14
Progress: 86%, score: -13
Progress: 90%, score: -14
Progress: 93%, score: -9
Progress: 96%, score: -15
Progress: 100%, score: -14
