Progress: 3%, score: -16
Progress: 6%, score: -17
Progress: 10%, score: -21
Progress: 13%, score: -17
Progress: 16%, score: -17
Progress: 20%, score: -28
Progress: 23%, score: -19
Progress: 26%, score: -19
Progress: 30%, score: -15
Progress: 33%, score: -21
Progress: 36%, score: -18
Progress: 40%, score: -16
Progress: 43%, score: -21
Progress: 46%, score: -18
Progress: 50%, score: -15
Progress: 53%, score: -13
Progress: 56%, score: -18
Progress: 60%, score: -20
Progress: 63%, score: -17
Progress: 66%, score: -24
Progress: 70%, score: -11
Progress: 73%, score: -20
Progress: 76%, score: -17
Progress: 80%, score: -14
Progress: 83%, score: -24
Progress: 86%, score: -22
Progress: 90%, score: -17
Progress: 93%, score: -17
Progress: 96%, score: -19
Progress: 100%, score: -20
